2,http://s3contents.chinesepod.com/0974/8685bba53f34aa321cb0621c97d032de8b4e0933/mp3/64/rec-1219363566765-1.mp3,46,46的。,sìshí liù de 。,46 de 
2,http://s3contents.chinesepod.com/0954/67ce7304856787b0ef424d8b3ed1bcaa591318dd/mp3/64/rec-1217005346203-2.mp3,1-3-6...,幺三六......,yāo sān liù ......,yao san liu 
2,http://s3contents.chinesepod.com/0713/dfa68a56d8ca022c7f5516ac188b8eefe1c9ac6b/mp3/64/rec-1195799332984-3.mp3,1.9 meters.,一米九。,yī mǐ jiǔ 。,yi mi jiu 
4,http://s3contents.chinesepod.com/0501/2963ecb4dfcba08675b7b924e0b60797336e5364/mp3/64/rec-1218825500484-1.mp3,10 RMB per hour.,10块钱一个小时。,shí kuài qián yī ge xiǎoshí 。,10 kuai qian yi ge xiao shi 
3,http://s3contents.chinesepod.com/1098/c67dba53fc185190063c786aa850acce9a676858/mp3/64/rec-1233703670921-3.mp3,10. Thank you!,10楼。谢谢你！,shí lóu 。 xièxie nǐ ！,10 lou  xie xie ni 
2,http://s3contents.chinesepod.com/0209/5e5558258721f05aaaff51e9a41814f5bd88b13a/mp3/64/rec-1218218522328-1.mp3,100 RMB.,一百块钱。,yībǎi kuài qián 。,yi bai kuai qian 
5,http://s3contents.chinesepod.com/0597/48729c68f4a6eda6bd33cbdc042234cbb42a043c/mp3/64/rec-1185865696343-3.mp3,135-28084479.,一三五，二八零八，四四七九。,yāo sān wǔ ， èr bā líng bā ， sì sì qī jiǔ 。,yi san wu  er ba ling ba  si si qi jiu 
2,http://s3contents.chinesepod.com/0728/aff187b41a7d72ae10c989dcd62e8b9a3cdf2db5/mp3/64/rec-1197276404343-0.mp3,14 dollars.,十四块钱。,shí sì kuàiqián 。,shi si kuai qian 
2,http://s3contents.chinesepod.com/0954/67ce7304856787b0ef424d8b3ed1bcaa591318dd/mp3/64/rec-1217005346203-5.mp3,4-9-0-0.,四九零零。,sì jiǔ líng líng 。,si jiu ling ling 
4,http://s3contents.chinesepod.com/0954/67ce7304856787b0ef424d8b3ed1bcaa591318dd/mp3/64/rec-1217005346203-6.mp3,4-9-0-0. Look... is this right?,四九零零，看...... 对不对？,sì jiǔ líng líng ， kàn ......  duì bu duì ？,si jiu ling ling  kan   dui bu dui 
4,http://s3contents.chinesepod.com/0728/aff187b41a7d72ae10c989dcd62e8b9a3cdf2db5/mp3/64/rec-1197276404343-1.mp3,40 dollars! So expensive!,四十块钱？太贵了！,sìshí kuàiqián ？ tài guì le ！,si shi kuai qian  tai gui le 
2,http://s3contents.chinesepod.com/0954/67ce7304856787b0ef424d8b3ed1bcaa591318dd/mp3/64/rec-1217005346203-4.mp3,5-7-8-2...,五七八二......,wǔ qī bā èr ......,wu qi ba er 
4,http://s3contents.chinesepod.com/0383/25eeabfc8ff51d205333500c38211090d63dbe7b/mp3/64/rec-1218497842359-1.mp3,"A bowl of noodles, don't want the cilantro.",一碗拉面，不要香菜。,yī wǎn lāmiàn ， bùyào xiāngcài 。,yi wan la mian  bu yao xiang cai 
3,http://s3contents.chinesepod.com/0058/a505da19f180b744f335d9bb0fe1ae0753bb1940/mp3/64/rec-1216847891968-1.mp3,A little bit. What about you?,会一点。你呢？,huì yīdiǎn 。 nǐ ne ？,hui yi dian  ni ni 
3,http://s3contents.chinesepod.com/0095/abbbf7c1f0a363b759650fa9a22ac505c4bbd281/mp3/64/rec-1218584715937-2.mp3,Across from the park?,在公园对面吗？,zài gōngyuán duìmiàn ma ？,zai gong yuan dui mian ma 
5,http://s3contents.chinesepod.com/0090/d2ac8d39906967cbc5244abe392a72a69c2f1d7d/mp3/64/rec-1210870069640-14.mp3,"After you graduate, what would you like to do?",毕业以后你想做什么？,bìyè yǐhòu nǐ xiǎng zuò shénme ？,bi ye yi hou ni xiang zuo shi yao 
1,http://s3contents.chinesepod.com/0891/2684ee2deca2b40310ae8fad1e51cc7908d81930/mp3/64/rec-1211318283312-3.mp3,Afternoon.,下午。,xiàwǔ 。,xia wu 
3,http://s3contents.chinesepod.com/1165/37c933130680bb15dc58e8cb86a3845df1e9e87c/mp3/64/rec-1242088609671-0.mp3,Agh! What's that sound?,啊！什么声音？,ā ！ shénme shēngyīn ？,a  shi yao sheng yin 
3,http://s3contents.chinesepod.com/1064/8e3c7e989f7b5270e480178e5bacc7dd557c5ef2/mp3/64/rec-1230072716390-3.mp3,"Agh! Yours is out of power, too.",你的也没电了。,nǐ de yě méidiàn le 。,ni de ye mei dian le 
2,http://s3contents.chinesepod.com/1049/3b6e6014be70779f4267e6b91934b614b50b5d31/mp3/64/rec-1227739671625-5.mp3,"Ah, coffee!",啊，咖啡！,à ， kāfēi ！,a  ka fei 
3,http://s3contents.chinesepod.com/1025/43f4f3a20743039fd600b5c479a930432133f912/mp3/64/rec-1224111731156-1.mp3,"Ah, do I need to take off my shoes?",哎，要脱鞋吗？,ài ， yào tuō xié ma ？,ai  yao tuo xie ma 
2,http://s3contents.chinesepod.com/0690/dae5cb3ae5f951ec689a4d442b48e54fb16a15ae/mp3/64/rec-1193733279169-2.mp3,"Ah, same here.",唉，我也是。,ài ， wǒ yě shì 。,ai  wo ye shi 
4,http://s3contents.chinesepod.com/0147/e7b3483d6b5d8fcd8833a35300b4ca8f30c1ccf7/mp3/64/rec-1219096981531-1.mp3,"Ah! It’s you, Jack. How are you?",啊，是你，杰克。你好吗？,à ， shì nǐ ， jiékè 。 nǐhǎoma ？,a  shi ni  jie ke  ni hao ma 
2,http://s3contents.chinesepod.com/0311/7d6b31bf8ea6939f38c2a14dd48eee9243a9f554/mp3/64/rec-1218523094859-1.mp3,Ah! Who is it?,啊！是谁？,à ！ shì shéi ？,a  shi shui 
3,http://s3contents.chinesepod.com/0744/759a518f540003630f38b66c36b6aa042726d85e/mp3/64/rec-1198657787750-2.mp3,"All right,  turn off the light.",好了，关灯吧。,hǎo le ， guān dēng ba 。,hao le  guan deng ba 
2,http://s3contents.chinesepod.com/0080/35aea8f89fb4461c1017acb68550890f21943c42/mp3/64/rec-1212616717156-1.mp3,All right.,还可以。,hái kěyǐ 。,huan ke yi 
3,http://s3contents.chinesepod.com/0580/37114dd5f624f25d54535201ac9663998f895ab4/mp3/64/rec-1184312660237-3.mp3,All right.  Thank you.,好吧，谢谢你。,hǎo ba ， xièxie nǐ 。,hao ba  xie xie ni 
4,http://s3contents.chinesepod.com/0966/073b1855019f077feabcfef8390ff86c4570540d/mp3/64/rec-1218155343906-1.mp3,"All right. Sorry, we're out of it.",好的。对不起，没有了。,hǎo de 。 duìbuqǐ ， méiyǒu le 。,hao de  dui bu qi  mei you le 
2,http://s3contents.chinesepod.com/0603/232dc8ccf7f50a18b4f41eaa99df85c2427fbeb2/mp3/64/rec-1186473346796-3.mp3,Also good!,也好吃！,yě hǎochī ！,ye hao chi 
3,http://s3contents.chinesepod.com/0924/295207534dc40fb08ef1c506ccf813359f9a105a/mp3/64/rec-1213997108812-3.mp3,Am not.  Another one!,没有。再来一杯！,méiyǒu 。 zài lái yī bēi ！,mei you  zai lai yi bei 
2,http://s3contents.chinesepod.com/0478/f58218d37c032badd9ee9fefb28d605ea3ef8629/mp3/64/rec-1218662790703-3.mp3,And me too!,还有我！,hái yǒu wǒ ！,huan you wo 
1,http://s3contents.chinesepod.com/0372/8d2c98710b1805f3f869f88636701e5f25f0cdca/mp3/64/rec-1218495413296-2.mp3,And you?,你呢？,nǐ ne ？,ni ni 
4,http://s3contents.chinesepod.com/0601/3c2cb8d49f166e54e0cbf6e3e25feb7cc3bc36a2/mp3/64/rec-1186384362812-0.mp3,Are there English books here?,这里有英语书吗？,zhèlǐ yǒu yīngyǔ shū ma ？,zhe li you ying yu shu ma 
3,http://s3contents.chinesepod.com/0821/e37380e58060c4dfaaf7d8ab35d512792d620cd3/mp3/64/rec-1212436795328-0.mp3,Are you American?,你是美国人吗？,nǐ shì měiguórén ma ？,ni shi mei guo ren ma 
3,http://s3contents.chinesepod.com/0003/428a26f10e751645839de800475443b7f3a990ca/mp3/64/rec-1188871815484-0.mp3,Are you Chinese?,你是中国人吗？,nǐ shì zhōngguórén ma ？,ni shi zhong guo ren ma 
2,http://s3contents.chinesepod.com/0286/7e6c2bae216c31830f09e95fe54c45f1eecde170/mp3/64/rec-1218490970406-0.mp3,Are you cold?,你冷不冷？,nǐ lěng bu lěng ？,ni leng bu leng 
3,http://s3contents.chinesepod.com/0663/6ddaf2ee539ef7a4249ee6a4c29051830a3af774/mp3/64/rec-1190770656000-0.mp3,Are you coming tomorrow?,你明天来吗？,nǐ míngtiān lái ma ？,ni ming tian lai ma 
